id,sex,age,session,block,trial,stim_type,stim,resp,acc,rt,difficult,word
1,1,21,1,1,48,1,fangen,1,1,0.743,2,1
1,1,21,1,1,49,3,Andlager,0,1,1.496,1,2
1,1,21,1,1,50,1,Licht,1,1,1.03,2,1
1,1,21,1,1,51,2,längs,1,1,0.758,1,1
1,1,21,1,1,52,4,Ehfiaag,0,1,0.768,2,2
1,1,21,1,1,53,2,Trägheit,1,1,0.865,1,1
1,1,21,1,1,54,2,paddeln,1,1,0.872,1,1
1,1,21,1,1,55,3,Sognang,0,1,0.927,1,2
1,1,21,1,1,56,2,Dolomit,1,1,0.825,1,1
1,1,21,1,1,57,3,Schieße,1,0,0.712,1,2
1,1,21,1,1,58,1,Absatz,1,1,0.711,2,1
1,1,21,1,1,59,2,Südküste,1,1,0.679,1,1
1,1,21,1,1,60,4,varker,0,1,0.696,2,2
1,1,21,1,1,61,1,nochmals,1,1,0.792,2,1
1,1,21,1,1,62,1,Kanton,1,1,0.703,2,1
1,1,21,1,1,63,1,beraten,1,1,0.663,2,1
1,1,21,1,1,64,3,bluteg,0,1,1.159,1,2
1,1,21,1,1,65,2,Gesell,1,1,0.647,1,1
1,1,21,1,1,66,3,Kunigin,0,1,0.928,1,2
1,1,21,1,1,67,4,Vrogwn,0,1,0.792,2,2
1,1,21,1,1,68,3,Rimiki,0,1,1.32,1,2
1,1,21,1,1,69,3,Besur,0,1,0.792,1,2
1,1,21,1,1,70,2,mulmig,1,1,0.727,1,1
1,1,21,1,1,71,4,Gegyn,0,1,1.536,2,2
1,1,21,1,1,72,4,kiscndte,0,1,0.895,2,2
1,1,21,1,1,73,2,Köpfchen,1,1,0.736,1,1
1,1,21,1,1,74,1,leiten,1,1,0.687,2,1
1,1,21,1,1,75,4,Gaorc,0,1,0.88,2,2
1,1,21,1,1,76,4,ailngen,0,1,0.928,2,2
1,1,21,1,1,77,1,Person,1,1,0.592,2,1
1,1,21,1,1,78,4,Soäfhb,0,1,0.711,2,2
1,1,21,1,1,79,3,Duzent,1,0,4.439,1,2
1,1,21,1,1,80,3,billun,0,1,0.639,1,2
1,1,21,1,1,81,4,Mupagi,0,1,0.967,2,2
1,1,21,1,1,82,1,Anschlag,1,1,1.239,2,1
1,1,21,1,1,83,2,fächern,1,1,0.695,1,1
1,1,21,1,1,84,1,erlauben,1,1,0.518,2,1
1,1,21,1,1,85,2,Dezernat,1,1,1.087,1,1
1,1,21,1,1,86,1,Flucht,1,1,0.639,2,1
1,1,21,1,1,87,2,Echtzeit,1,1,0.751,1,1
1,1,21,1,1,88,2,Barbar,1,1,0.839,1,1
1,1,21,1,1,89,1,Bilanz,1,1,0.591,2,1
1,1,21,1,1,90,4,Gasbsg,0,1,0.703,2,2
1,1,21,1,1,91,1,Markt,1,1,0.534,2,1
1,1,21,1,1,92,3,Helzor,0,1,1.056,1,2
1,1,21,1,1,93,1,Sprache,1,1,0.679,2,1
1,1,21,1,1,94,1,stärken,1,1,0.583,2,1
1,1,21,1,1,95,4,dnhbace,0,1,0.591,2,2
1,1,21,1,1,96,1,erfolgen,1,1,0.631,2,1
1,1,21,1,1,97,4,Motiig,0,1,0.759,2,2
1,1,21,1,1,98,2,Erdapfel,1,1,0.855,1,1
1,1,21,1,1,99,4,zuthtc,0,1,0.614,2,2
1,1,21,1,1,100,1,erweisen,1,1,0.641,2,1
1,1,21,1,1,101,4,uomne,0,1,0.703,2,2
1,1,21,1,1,102,2,walken,1,1,0.72,1,1
1,1,21,1,1,103,2,Surfen,1,1,0.704,1,1
1,1,21,1,1,104,3,Villo,0,1,0.929,1,2
1,1,21,1,2,5,3,Ioslusar,0,1,0.879,1,2
